species,group,area_km2_present,pct_of_basin,mean_ba_where_present,p90_ba_where_present
pitch_pine,companion,425.385,17.6220832124724,24.62038803100586,55.0
red_maple,companion,341.94419999999997,14.165448115054138,40.54907989501953,82.0
eastern_white_pine,companion,266.3019,11.031875222303334,50.172637939453125,120.0
black_cherry,companion,14.6844,0.6083188610910816,14.41431713104248,32.0
birch_spp,companion,3.5964,0.14898517828634236,11.815065383911133,27.0
eastern_hemlock,companion,1.1691,0.04843136801650619,48.36412811279297,98.0
American_beech,companion,0.026099999999999998,0.0010812237663423243,13.068965911865234,28.59999656677246
black_oak,oak,293.92019999999997,12.175996384984263,18.316251754760742,38.0
scarlet_oak,oak,290.2032,12.022015207225856,22.416627883911133,46.0
white_oak,oak,269.4267,11.161323805639215,16.89225196838379,35.0
chestnut_oak,oak,3.8609999999999998,0.15994655026236454,37.85477828979492,66.099853515625
northern_red_oak,oak,1.8423,0.0763194844725082,18.573522567749023,34.0
scrub_oak,oak,1.7082,0.07076423132819765,3.8182296752929688,10.0
pin_oak,oak,0.0297,0.0012303580789412658,23.030303955078125,37.39999771118164
post_oak,oak,0.0,0.0,0.0,0.0
swamp_white_oak,oak,0.0,0.0,0.0,0.0
oak_deciduous_spp,oak_total,548.3312999999999,22.715280972773293,29.633163452148438,58.0
